检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2026 五一 出游,2026-08-28-R1,五一假期国内出游 = 3.25亿人次,文化和旅游部,2026年五一假期文旅数据,2026,https://www.mct.gov.cn/whzx/whyw/202605/t20260506_965708.htm,文旅部：2026五一国内出游3.25亿人次(+3.6%),snapshots/文化和旅游部_五一假期国内出游.html,L1,入库L1,R1,否
2026 五一 收入,2026-08-28-R1,五一假期国内出游总花费 = 1854.92亿元,文化和旅游部,2026年五一假期文旅数据,2026,https://www.gov.cn/yaowen/liebiao/202605/content_7068049.htm,文旅部：2026五一国内出游总花费1854.92亿元(+2.9%),snapshots/文化和旅游部_五一假期国内出游总花费.html,L1,入库L1,R1,否
2026 五一 流动,2026-08-28-R1,五一假期全社会跨区域流动量 = 15.17亿人次,交通运输部,2026年五一交通数据,2026,https://www.gov.cn/lianbo/202605/content_7067883.htm,交通运输部：2026五一跨区域流动15.17亿人次(+3.49%)创新高,snapshots/交通运输部_五一假期全社会跨区域流动量.html,L1,入库L1,R1,否
2026 五一 铁路,2026-08-28-R1,五一假期铁路客运量 = 10637.7万人次,国铁集团,2026年五一交通数据,2026,https://www.gov.cn/lianbo/202605/content_7067883.htm,交通运输部：2026五一铁路客运量10637.7万人次(+4.6%),snapshots/国铁集团_五一假期铁路客运量.html,L1,入库L1,R1,否
2026 五一 商务部,2026-08-28-R1,五一重点零售和餐饮企业销售额增速 = 6.3%,商务部(中金转引),中金2026五一假期点评,2026,https://pdf.dfcfw.com/pdf/H3_AP202605081822056822_1.pdf,商务部：2026五一重点零售餐饮销售额+6.3%,snapshots/商务部(中金转引)_五一重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2026 五一 平台消费,2026-08-28-R1,五一重点平台跨省游客规模增速 = 7.6%,商务部,2026年五一服务消费数据,2026,http://paper.people.com.cn/rmrb/pad/content/202605/06/content_30155054.html,商务部：2026五一重点平台跨省游客+7.6%,snapshots/商务部_五一重点平台跨省游客规模增速.html,L1,入库L1,R1,否
2026 五一 支付,2026-08-28-R1,五一银联网联支付交易笔数 = 289.37亿笔,银联/网联/中国人民银行,2026年五一支付清算数据,2026,https://news.cctv.com/2026/05/07/ARTIxw9qjIfVMdTFjznzb1cS260507.shtml,央行：2026五一银联网联处理交易289.37亿笔/7.85万亿元,snapshots/银联_网联_中国人民银行_五一银联网联支付交易笔数.html,L1,入库L1,R1,否
2026 五一 支付金额,2026-08-28-R1,五一银联网联支付交易金额 = 7.85万亿元,银联/网联/中国人民银行,2026年五一支付清算数据,2026,http://news.cnr.cn/native/gd/20260508/t20260508_527613628.shtml,央行：2026五一银联网联支付交易金额7.85万亿元,snapshots/银联_网联_中国人民银行_五一银联网联支付交易金额.html,L1,入库L1,R1,否
2026 五一 出入境,2026-08-28-R1,五一假期出入境人次 = 1127.9万人次,国家移民管理局,2026年五一出入境数据,2026,https://www.nia.gov.cn/n897453/c1783234/content.html,移民局：2026五一出入境1127.9万人次(+3.5%),snapshots/国家移民管理局_五一假期出入境人次.html,L1,入库L1,R1,否
2026 五一 免签,2026-08-28-R1,五一免签入境外国人 = 43.6万人次,国家移民管理局,2026年五一出入境数据,2026,https://www.bjnews.com.cn/detail/1778125973129367.html,移民局：2026五一免签入境外国人43.6万人次(+14.7%),snapshots/国家移民管理局_五一免签入境外国人.html,L1,入库L1,R1,否
