检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2026 端午 出游,2026-08-28-R1,端午假期国内出游 = 1.24亿人次,文化和旅游部,2026年端午假期文旅数据,2026,http://www.mct.gov.cn/whzx/whyw/202606/t20260622_966305.htm,文旅部：2026端午假期国内出游1.24亿人次(+4.4%),snapshots/文化和旅游部_端午假期国内出游.html,L1,入库L1,R1,否
2026 端午 收入,2026-08-28-R1,端午假期国内出游总花费 = 444.56亿元,文化和旅游部,2026年端午假期文旅数据,2026,https://www.gov.cn/lianbo/202606/content_7072955.htm,文旅部：2026端午假期国内出游总花费444.56亿元(+4.0%),snapshots/文化和旅游部_端午假期国内出游总花费.html,L1,入库L1,R1,否
2026 端午 流动,2026-08-28-R1,端午假期全社会跨区域流动量 = 6.53亿人次,交通运输部,2026年端午交通数据,2026,http://news.china.com.cn/2026-06/21/content_118558971.shtml,交通运输部：2026端午跨区域流动65278万人次,snapshots/交通运输部_端午假期全社会跨区域流动量.html,L1,入库L1,R1,否
2026 端午 铁路,2026-08-28-R1,端午假期铁路客运量 = 4943.2万人次,国铁集团,2026年端午交通数据,2026,https://www.gov.cn/lianbo/202606/content_7072913.htm,交通运输部：2026端午铁路客运量4943.2万人次(+2.93%),snapshots/国铁集团_端午假期铁路客运量.html,L1,入库L1,R1,否
2026 端午 民航,2026-08-28-R1,端午假期民航客运量 = 567.7万人次,交通运输部,2026年端午交通数据,2026,https://wap.chinanews.com/wap/detail/chs/zw/10645048.shtml,交通运输部：2026端午民航客运量567.7万人次(+0.62%),snapshots/交通运输部_端午假期民航客运量.html,L1,入库L1,R1,否
2026 端午 商务部,2026-08-28-R1,端午重点步行街商圈客流量增速 = 4.0%,商务部,2026年端午消费市场数据,2026,http://jingji.cctv.com/2026/06/21/ARTIBvOX7SssCWylDnC09uxN260621.shtml,商务部：2026端午78步行街客流量+4.0%,snapshots/商务部_端午重点步行街商圈客流量增速.html,L1,入库L1,R1,否
2026 端午 票房,2026-08-28-R1,端午档电影票房 = 3.92亿元,灯塔专业版,2026年端午档电影数据,2026,https://m.gmw.cn/2026-06/22/content_1304504677.htm,灯塔/猫眼：2026端午档票房3.92-3.97亿元,snapshots/灯塔专业版_端午档电影票房.html,L1,入库L1,R1,否
2026 端午 出入境,2026-08-28-R1,端午假期出入境人次 = 666.7万人次,国家移民管理局,2026年端午出入境数据,2026,https://www.nia.gov.cn/News/news/content.jsp?id=1787566,移民局：2026端午出入境666.7万人次(+12.9%),snapshots/国家移民管理局_端午假期出入境人次.html,L1,入库L1,R1,否
2026 端午 湖南,2026-08-28-R1,湖南端午接待游客 = 1645.7万人次,湖南省文化和旅游厅,湖南省2026年端午文旅数据,2026,http://cn.chinadaily.com.cn/a/202606/22/WS6a3903b1a310d709c2fb971f.html,湖南文旅厅：2026端午接待游客1645.7万人次,snapshots/湖南省文化和旅游厅_湖南端午接待游客.html,L1,入库L1,R1,否
2026 端午 河南,2026-08-28-R1,河南端午接待国内游客 = 1463.6万人次,河南省文化和旅游厅,河南省2026年端午文旅数据,2026,http://ha.news.cn/20260622/e82ad1635b6349f6a454499037992eab/c.html,河南文旅厅：2026端午接待游客1463.6万人次/收入65.2亿元,snapshots/河南省文化和旅游厅_河南端午接待国内游客.html,L1,入库L1,R1,否
2026 端午 广州,2026-08-28-R1,广州端午接待游客 = 662.8万人次,广州市文化广电旅游局,广州市2026年端午文旅数据,2026,http://m.chinanews.com/wap/detail/cht/zw/10644689.shtml,广州文广旅局：2026端午接待游客662.8万人次(+5.2%),未存-HTTPError,L1,入库L1-快照未存,R1,否
2026 端午 深圳,2026-08-28-R1,深圳端午接待游客 = 430.38万人次,深圳市文化广电旅游体育局,深圳市2026年端午文旅数据,2026,http://www.sznews.com/news/content/mb/2026-06/22/content_32098368.htm,深圳文广旅体局：2026端午接待游客430.38万人次(+3.4%),snapshots/深圳市文化广电旅游体育局_深圳端午接待游客.html,L1,入库L1,R1,否
