检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2026 春节 出游,2026-08-28-R1,春节假期国内出游 = 5.96亿人次,文化和旅游部,2026年春节假期文旅数据,2026,http://www.mct.gov.cn/preview/whzx/whyw/202602/t20260224_964790.htm,文旅部：2026春节假期国内出游5.96亿人次创历史新高,snapshots/文化和旅游部_春节假期国内出游.html,L1,入库L1,R1,否
2026 春节 收入,2026-08-28-R1,春节假期国内出游总花费 = 8034.83亿元,文化和旅游部,2026年春节假期文旅数据,2026,https://news.cctv.com/2026/02/25/ARTIB6qTcynsCmrJuHHUM3PR260225.shtml,文旅部：2026春节假期国内出游总花费8034.83亿元,snapshots/文化和旅游部_春节假期国内出游总花费.html,L1,入库L1,R1,否
2026 春节 流动,2026-08-28-R1,春节假期全社会跨区域流动量 = 28亿人次,交通运输部,2026年春节交通数据,2026,http://www.ce.cn/cysc/newmain/yc/jsxw/202602/t20260226_2787949.shtml,交通运输部：2026春节跨区域流动超28亿人次(+8.2%)创新高,snapshots/交通运输部_春节假期全社会跨区域流动量.html,L1,入库L1,R1,否
2026 春节 铁路,2026-08-28-R1,春节假期铁路发送旅客 = 1.21亿人次,国铁集团,2026年春节铁路数据,2026,https://www.gov.cn/yaowen/liebiao/202602/content_7058404.htm,国铁集团：2026春节铁路发送旅客1.21亿人次(+11.5%),snapshots/国铁集团_春节假期铁路发送旅客.html,L1,入库L1,R1,否
2026 春节 民航,2026-08-28-R1,春节假期民航运输旅客 = 2205万人次,民航局,2026年春节民航数据,2026,http://www.caac.gov.cn/XWZX/MHYW/202602/t20260224_230105.html,民航局：2026春节民航运输旅客2205万人次(+7.7%),snapshots/民航局_春节假期民航运输旅客.html,L1,入库L1,R1,否
2026 春节 商务部,2026-08-28-R1,春节重点零售和餐饮企业日均销售额增速 = 5.7%,商务部,2026年春节消费市场数据,2026,https://www.gov.cn/lianbo/202602/content_7059051.htm,商务部：2026春节重点零售和餐饮日均销售额+5.7%,snapshots/商务部_春节重点零售和餐饮企业日均销售额.html,L1,入库L1,R1,否
2026 春节 税务,2026-08-28-R1,春节消费相关行业日均销售收入增速 = 13.7%,国家税务总局,2026年春节增值税发票数据,2026,http://jingji.cctv.com/2026/02/24/ARTIPtc2WLvbKBYlsbGxse72260224.shtml,税务总局：2026春节消费相关行业日均销售收入+13.7%,snapshots/国家税务总局_春节消费相关行业日均销售收入增速.html,L1,入库L1,R1,否
2026 春节 票房,2026-08-28-R1,春节档电影票房 = 57.52亿元,国家电影局,2026年春节档电影数据,2026,https://www.chinafilm.gov.cn/xwzx/ywxx/202602/t20260224_954180.html,国家电影局：2026春节档票房57.52亿元，观影1.2亿人次,snapshots/国家电影局_春节档电影票房.html,L1,入库L1,R1,否
2026 春节 观影,2026-08-28-R1,春节档观影人次 = 1.2亿人次,国家电影局,2026年春节档电影数据,2026,https://www.chinafilm.gov.cn/xwzx/gzdt/202602/t20260225_954221.html,国家电影局：2026春节档观影人次1.2亿,snapshots/国家电影局_春节档观影人次.html,L1,入库L1,R1,否
2026 春节 支付,2026-08-28-R1,春节银联网联支付交易笔数 = 393.02亿笔,银联/网联/中国人民银行,2026年春节支付清算数据,2026,http://paper.srxww.com/pc/att/202602/25/3a423177-5f8f-43e4-90be-eb72f2486de9.pdf,央行：2026春节银联网联处理交易393.02亿笔/13.12万亿元,snapshots/银联_网联_中国人民银行_春节银联网联支付交易笔数.html,L1,入库L1,R1,否
2026 春节 支付金额,2026-08-28-R1,春节银联网联支付交易金额 = 13.12万亿元,银联/网联/中国人民银行,2026年春节支付清算数据,2026,http://paper.srxww.com/pc/att/202602/25/3a423177-5f8f-43e4-90be-eb72f2486de9.pdf,央行：2026春节银联网联支付交易金额13.12万亿元,snapshots/银联_网联_中国人民银行_春节银联网联支付交易金额.html,L1,入库L1,R1,否
2026 春节 出入境,2026-08-28-R1,春节假期出入境人次 = 1779.6万人次,国家移民管理局,2026年春节出入境数据,2026,https://m.meadin.com/293884.html,移民局：2026春节出入境1779.6万人次(+10.1%),snapshots/国家移民管理局_春节假期出入境人次.html,L1,入库L1,R1,否
