检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2026 暑假 7月出游,2026-08-28-R1,7月国内旅游人次 = 12.3亿人次,文化和旅游部,2026年7月国内旅游数据,2026,http://www.sh.chinanews.com/shms/2026-08-01/148162.shtml,文旅部：2026年7月国内旅游人次12.3亿(+18.7%),snapshots/文化和旅游部_7月国内旅游人次.html,L1,入库L1,R1,否
2026 暑假 7月收入,2026-08-28-R1,7月国内旅游收入 = 9200亿元,文化和旅游部,2026年7月国内旅游数据,2026,http://www.sh.chinanews.com/shms/2026-08-01/148162.shtml,文旅部：2026年7月国内旅游收入超9200亿元,snapshots/文化和旅游部_7月国内旅游收入.html,L1,入库L1,R1,否
2026 暑假 铁路 预计,2026-08-28-R1,暑运全国铁路预计发送旅客 = 10.1亿人次,国铁集团,2026年铁路暑运数据,2026,http://wap.china-railway.com.cn/xwzx/mtjj/cyol/202607/t20260708_158019.html,国铁集团：2026暑运预计发送旅客10.1亿人次,snapshots/国铁集团_暑运全国铁路预计发送旅客.html,L1,入库L1,R1,否
2026 暑假 铁路 首月,2026-08-28-R1,暑运前一个月铁路发送旅客 = 4.32亿人次,国铁集团,2026年铁路暑运数据,2026,https://www.gov.cn/yaowen/liebiao/202608/content_7077312.htm,国铁集团：2026暑运首月铁路发送旅客4.32亿人次,snapshots/国铁集团_暑运前一个月铁路发送旅客.html,L1,入库L1,R1,否
2026 暑假 民航 预测,2026-08-28-R1,暑运民航旅客运输量(预测) = 1.42亿人次,航班管家(国铁集团转引),2026年民航暑运数据,2026,http://wap.china-railway.com.cn/xwzx/mtjj/cyol/202607/t20260708_158019.html,航班管家：2026暑运民航旅客运输量约1.42亿人次,snapshots/航班管家(国铁集团转引)_暑运民航旅客运输量(预测).html,L1,入库L1,R1,否
2026 暑假 民航,2026-08-28-R1,暑运民航累计运输旅客 = 1.14亿人次,民航局,2026年民航暑运数据,2026,https://m.yunnan.cn/system/2026/08/28/034139253.shtml,民航局：2026暑运截至8月19日累计运输旅客1.14亿人次,snapshots/民航局_暑运民航累计运输旅客.html,L1,入库L1,R1,否
2026 暑假 票房,2026-08-28-R1,暑期档电影票房(截至8月27日) = 119.67亿元,猫眼专业版/灯塔专业版,2026年暑期档电影数据,2026,http://m.toutiao.com/group/7678669078274064936/,灯塔/猫眼：2026暑期档票房突破119.67亿元超去年,snapshots/猫眼专业版_灯塔专业版_暑期档电影票房(截至8月27日).html,L1,入库L1,R1,否
2026 暑假 观影,2026-08-28-R1,暑期档观影总人次 = 3.26亿人次,猫眼专业版,2026年暑期档电影数据,2026,https://www.iesdouyin.com/share/video/7678832700358757745,猫眼：2026暑期档观影总人次3.26亿,snapshots/猫眼专业版_暑期档观影总人次.html,L1,入库L1,R1,否
2026 暑假 国际航线,2026-08-28-R1,暑运民航国际航线旅客运输量增速 = 15.7%,民航局,2026年民航暑运数据,2026,http://m.toutiao.com/group/7679066955013390890/,民航局：2026暑运国际航线旅客运输量持续回暖,snapshots/民航局_暑运民航国际航线旅客运输量增速.html,L1,入库L1,R1,否
2026 暑假 云南,2026-08-28-R1,云南暑期日均接待游客 = 28万人次,云南省文化和旅游厅,云南省2026年暑期文旅数据,2026,http://yn.xinhuanet.com/20260806/cc92fc62be9a476788e9de305c205266/c.html,云南文旅厅：2026暑期云南日均接待游客超28万人次,snapshots/云南省文化和旅游厅_云南暑期日均接待游客.html,L1,入库L1,R1,否
2026 暑假 云南 预订,2026-08-28-R1,云南暑期旅游预订量增速 = 42.7%,云南省文化和旅游厅,云南省2026年暑期文旅数据,2026,http://m.toutiao.com/group/7678831248462201383/,云南文旅厅：2026暑期云南旅游预订量+42.7%,snapshots/云南省文化和旅游厅_云南暑期旅游预订量增速.html,L1,入库L1,R1,否
2026 暑假 大理,2026-08-28-R1,大理暑运民航旅客量增速 = 40%,民航局,2026年民航暑运数据,2026,https://m.yunnan.cn/system/2026/08/28/034139253.shtml,民航局：2026暑运大理民航旅客量+40%,snapshots/民航局_大理暑运民航旅客量增速.html,L1,入库L1,R1,否
2026 暑假 途家 云南,2026-08-28-R1,途家云南旅居订单增速 = 52%,途家民宿,途家2026暑期数据,2026,http://yn.xinhuanet.com/20260806/cc92fc62be9a476788e9de305c205266/c.html,途家：2026暑期云南旅居订单+52%居全国第一。平台自身口径,snapshots/途家民宿_途家云南旅居订单增速.html,L1,入库L1,R1,否
2026 暑假 飞猪 黑龙江,2026-08-28-R1,飞猪黑龙江酒店预订量增速 = 70%,飞猪,飞猪2026暑期出游快报,2026,http://m.toutiao.com/group/7679104886927196726/,飞猪：2026暑期黑龙江酒店预订量+70%。平台自身口径,snapshots/飞猪_飞猪黑龙江酒店预订量增速.html,L1,入库L1,R1,否
2026 暑假 携程 慢充,2026-08-28-R1,携程暑期4天及以上出游人次占比 = 47.1%,携程,携程2026暑期数据,2026,http://paper.people.com.cn/rmrbhwb/pad/content/202607/17/content_30169372.html,携程：2026暑期4天+出游人次占比47.1%。平台自身口径,snapshots/携程_携程暑期4天及以上出游人次占比.html,L1,入库L1,R1,否
2026 暑假 飞猪 六盘水,2026-08-28-R1,飞猪贵州六盘水订单增速 = 1000%,飞猪,飞猪2026暑期数据,2026,https://xfzaixian.cn/articles/2u2-vw71.html,飞猪：2026暑期贵州六盘水订单+约1000%。平台自身口径,snapshots/飞猪_飞猪贵州六盘水订单增速.html,L1,入库L1,R1,否
2026 暑假 去哪儿 小城,2026-08-28-R1,去哪儿小机场'宝藏小城'机票增速排名 = 大同87%居首定性,去哪儿,去哪儿2026暑期数据,2026,https://xfzaixian.cn/articles/2u2-vw71.html,去哪儿：2026暑期宝藏小城机票增速大同87%居首。平台自身口径,snapshots/去哪儿_去哪儿小机场'宝藏小城'机票增速.html,L1,入库L1,R1,否
2026 暑假 美团 县域,2026-08-28-R1,美团暑期热门目的地 = 避暑+县域定性,美团,美团2026暑期数据,2026,http://www.sh.chinanews.com/shms/2026-08-01/148162.shtml,美团：2026暑期县域旅游成黑马。平台自身口径,snapshots/美团_美团暑期热门目的地.html,L1,入库L1,R1,否
2026 暑假 平武,2026-08-28-R1,四川平武县暑期接待游客增速 = 54.5%,平武县文化和旅游局,平武县2026年暑期文旅数据,2026,http://m.toutiao.com/group/7676804851006702126/,平武县文旅局：2026暑期接待游客+54.5%,snapshots/平武县文化和旅游局_四川平武县暑期接待游客增速.html,L1,入库L1,R1,否
2026 暑假 慢充 L2,2026-08-28-R1,'慢充式旅游'成新风尚：游客诉求从走马观花转向静心休憩，4天及以上出游人次占比升至47.1%,人民日报/携程,,,http://paper.people.com.cn/rmrbhwb/pad/content/202607/17/content_30169372.html,松弛治愈、深度沉浸成为暑期出行主旋律,snapshots/人民日报_携程_'慢充式旅游'成新风尚：游客诉求.html,L2,入库L2,R1,否
2026 暑假 避暑 L2,2026-08-28-R1,避暑经济全面爆发：贵州稳居避暑游第一梯队，云南21.9℃清凉经济走热，凉爽目的地领涨大盘,贵州省政府/新华网,,,https://www.guizhou.gov.cn/home/gzyw/202608/t20260810_90715201.html,避暑游多平台数据领跑，'纳凉'成暑期刚需,snapshots/贵州省政府_新华网_避暑经济全面爆发：贵州稳居避暑游.html,L2,入库L2,R1,否
2026 暑假 县域 L2,2026-08-28-R1,县域旅游成黑马：小机场'宝藏小城'进出同步升温，县城旅游'去中心化'趋势明显,去哪儿/美团,,,http://m.toutiao.com/group/7676804851006702126/,三线及以下城市小城机票、酒店预订大幅增长,snapshots/去哪儿_美团_县域旅游成黑马：小机场'宝藏小城.html,L2,入库L2,R1,否
2026 暑假 总量 测算,2026-08-28-R1,暑期国内出游总人次(媒体测算) = 11.2亿人次,行业研究机构,2026暑期旅游市场分析,2026,https://www.sina.cn/gc/article/nipfkxi1007438.html,行业研究：2026暑期国内出游总人次约11.2亿(+32.7%),snapshots/行业研究机构_暑期国内出游总人次(媒体测算).html,L1,入库L1,R1,否
2026 暑假 7月社零,2026-08-28-R1,7月社会消费品零售总额 = 39022亿元,国家统计局,2026年7月社会消费品零售数据,2026,https://www.stats.gov.cn/sj/zxfbhjd/202608/t20260817_1965052.html,国家统计局：2026年7月社零39022亿元(+0.6%),snapshots/国家统计局_7月社会消费品零售总额.html,L1,入库L1,R1,否
2026 暑假 入境,2026-08-28-R1,上半年入境外国人 = 2291.4万人次,国家移民管理局,2026年上半年出入境数据,2026,http://www.chinanews.com.cn/gn/2026/07-22/10664397.shtml,移民局：2026上半年入境外国人2291.4万人次(+20.4%),snapshots/国家移民管理局_上半年入境外国人.html,L1,入库L1,R1,否
2026 暑假 免签,2026-08-28-R1,上半年免签入境外国人 = 1781.5万人次,国家移民管理局,2026年上半年出入境数据,2026,https://m.gmw.cn/2026-07/17/content_1304534209.htm,移民局：2026上半年免签入境外国人1781.5万人次(+30.6%),snapshots/国家移民管理局_上半年免签入境外国人.html,L1,入库L1,R1,否
2026 暑假 支付宝,2026-08-28-R1,暑期入境游客支付宝消费金额增速 = 72.9%,支付宝,支付宝2026暑期入境消费数据,2026,http://m.chinanews.com/wap/detail/cht/zw/10672253.shtml,支付宝：2026暑期入境游客消费金额+72.9%。平台自身口径,未存-HTTPError,L1,入库L1-快照未存,R1,否
2026 暑假 微信支付,2026-08-28-R1,暑期微信境外来华用户日均支付笔数增速 = 55%,微信支付,微信支付2026暑期数据,2026,http://m.chinanews.com/wap/detail/cht/zw/10672253.shtml,微信支付：2026暑期境外来华日均支付笔数+55%。平台自身口径,未存-HTTPError,L1,入库L1-快照未存,R1,否
2026 暑假 毕节,2026-08-28-R1,贵州毕节暑期接待游客 = 2200万人次,毕节市人民政府,毕节市2026年暑期文旅数据,2026,http://m.toutiao.com/group/7677547220656243254/,毕节市政府：2026暑期接待游客超2200万人次,snapshots/毕节市人民政府_贵州毕节暑期接待游客.html,L1,入库L1,R1,否
2026 暑假 宣汉,2026-08-28-R1,四川宣汉7-8月预计接待游客 = 428万人次,四川省文化和旅游厅,四川省2026年暑期文旅数据,2026,https://wlt.sc.gov.cn/scwlt/hydt/2026/8/27/87c2d48283ce4ebe82c86825082826c9.shtml,四川文旅厅：2026暑期宣汉县预计接待428万人次/33亿元,snapshots/四川省文化和旅游厅_四川宣汉7-8月预计接待游客.html,L1,入库L1,R1,否
2026 暑假 贵州 政府,2026-08-28-R1,贵州暑期避暑游排名 = 全国第一梯队定性,贵州省人民政府,贵州省2026年暑期避暑游数据,2026,https://www.guizhou.gov.cn/home/gzyw/202608/t20260810_90715201.html,贵州省政府：2026暑期贵州避暑游多平台领跑,snapshots/贵州省人民政府_贵州暑期避暑游排名.html,L1,入库L1,R1,否
2026 暑假 万联,2026-08-28-R1,7月社零增速(研报点评) = 0.6%,万联证券,万联证券7月社零数据点评,2026,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/lastest/rptid/840440040288/index.phtml,万联证券：2026年7月社零+0.6%(研报点评),snapshots/万联证券_7月社零增速(研报点评).html,L1,入库L1,R1,否
2026 暑假 民航 测算,2026-08-28-R1,民航暑运旅客运输量(媒体测算) = 2.1亿人次,行业研究机构,2026暑期文旅分析,2026,https://xfzaixian.cn/articles/2u2-vw71.html,行业研究：2026暑期民航旅客运输量约2.1亿人次,snapshots/行业研究机构_民航暑运旅客运输量(媒体测算).html,L1,入库L1,R1,否
2026 暑假 入境 L2,2026-08-28-R1,'中国游'带火'中国购'：离境退税单量增长近三倍，入境游客支付宝消费+72.9%，北上广深多城入境游回暖,中国新闻网/支付宝,,,http://m.chinanews.com/wap/detail/cht/zw/10672253.shtml,移动支付全面覆盖市井街巷，入境消费成为暑期新亮点,未存-HTTPError,L2,入库L2-快照未存,R1,否
2026 暑假 客流 L2,2026-08-28-R1,暑期客流呈'双峰'特征：7月第三周、8月第一周两个出行高峰，打破往年7月单高峰模式，8月下旬亲子客流回落,行业研究,,,https://www.sina.cn/gc/article/nipfrfh2876809.html,长线游降温、短途休闲回归常态，出行节奏更分散,snapshots/行业研究_暑期客流呈'双峰'特征：7月第三.html,L2,入库L2,R1,否
2026 暑假 上半年出游,2026-08-28-R1,上半年国内居民出游人次 = 34.63亿人次,中国旅游研究院,2026年上半年国内居民出游数据,2026,https://www.ctaweb.org.cn/gongzuodongtai/10523.html,中国旅游研究院：2026上半年国内居民出游34.63亿人次(+5.4%),snapshots/中国旅游研究院_上半年国内居民出游人次.html,L1,入库L1,R1,否
2026 暑期 沈阳 演唱会,2026-08-28-R1,沈阳7月大型演唱会场次 = 10余场,同程旅行/东北新闻网,2026年暑期沈阳演艺数据,2026,http://m.toutiao.com/group/7678743467148853779/,同程/东北新闻网：2026暑期沈阳7月大型演唱会10余场,snapshots/同程旅行_东北新闻网_沈阳7月大型演唱会场次.html,L1,入库L1,R1,否
2026 暑期 沈阳 酒店,2026-08-28-R1,沈阳演唱会期间周边酒店预订热度增速 = 115%,同程旅行,2026年暑期沈阳演艺数据,2026,http://m.toutiao.com/group/7678743467148853779/,同程：2026暑期沈阳演唱会周边酒店预订热度+115%,snapshots/同程旅行_沈阳演唱会期间周边酒店预订热度增.html,L1,入库L1,R1,否
2026 暑期 沈阳 跨城,2026-08-28-R1,沈阳演唱会跨城观演用户占比 = 67%,同程旅行,2026年暑期沈阳演艺数据,2026,http://m.toutiao.com/group/7678743467148853779/,同程：2026暑期沈阳演唱会跨城观演用户占67%,snapshots/同程旅行_沈阳演唱会跨城观演用户占比.html,L1,入库L1,R1,否
2026 暑期 安顺 机票,2026-08-28-R1,暑期飞赴贵州安顺机票量增速 = 20%,中新网(航旅平台数据),2026年暑期安顺旅游数据,2026,http://www.chinanews.com.cn/cj/2026/07-06/10653638.shtml,中新网：2026暑期飞赴安顺机票增超两成,snapshots/中新网(航旅平台数据)_暑期飞赴贵州安顺机票量增速.html,L1,入库L1,R1,否
2026 暑期 大型演出 票房,2026-08-28-R1,上半年大型营业性演出票房收入 = 171.11亿元,中国演出行业协会,2026年上半年全国演出市场简报,2026,http://www.ce.cn/culture/gd/202607/t20260725_3106787.shtml,中国演出行业协会：2026上半年大型演出票房171.11亿元,snapshots/中国演出行业协会_上半年大型营业性演出票房收入.html,L1,入库L1,R1,否
2026 暑期 大型演出 观众,2026-08-28-R1,上半年大型营业性演出观众人数 = 2328.28万人次,中国演出行业协会,2026年上半年全国演出市场简报,2026,https://view.inews.qq.com/a/20260806A09BLK00,中国演出行业协会：2026上半年大型演出观众2328.28万人次,snapshots/中国演出行业协会_上半年大型营业性演出观众人数.html,L1,入库L1,R1,否
2026 暑期 演出 场次,2026-08-28-R1,上半年全国营业性演出场次 = 32.43万场,中国演出行业协会,2026年上半年全国演出市场简报,2026,http://m.163.com/dy/article/L2RP91IH0539AECO.html,中国演出行业协会：2026上半年营业性演出32.43万场,snapshots/中国演出行业协会_上半年全国营业性演出场次.html,L1,入库L1,R1,否
2026 暑期 贵州 排名,2026-08-28-R1,贵州暑期热门旅游省份排名 = 全国第一定性,马蜂窝(转引贵州日报),2026年暑期贵州避暑游数据,2026,https://www.hubpd.com/hubpd/rss/flipboard/index.html?contentId=3458764513826182353,马蜂窝：2026暑期贵州位列全国热门旅游省份第一,snapshots/马蜂窝(转引贵州日报)_贵州暑期热门旅游省份排名.html,L1,入库L1,R1,否
2026 暑期 贵州 铁路,2026-08-28-R1,贵州铁路暑运7月发送旅客 = 919.6万人次,国铁集团/成都铁路局,2026年暑期贵州交通数据,2026,https://www.iesdouyin.com/share/video/7670856165399579939,国铁集团：2026暑运7月贵州铁路发送旅客919.6万人次,snapshots/国铁集团_成都铁路局_贵州铁路暑运7月发送旅客.html,L1,入库L1,R1,否
2026 暑期 贵阳 铁路,2026-08-28-R1,贵阳铁路暑运预计发送旅客 = 1104万人次,成都铁路局贵阳车站,2026年暑期贵阳交通数据,2026,http://szb.eyesnews.cn/pc/cont/202608/01/content_185621.html,成都铁路局贵阳车站：2026暑运贵阳预计发送1104万人次,snapshots/成都铁路局贵阳车站_贵阳铁路暑运预计发送旅客.html,L1,入库L1,R1,否
2026 暑期 贵阳 演出,2026-08-28-R1,贵阳大型营业性演出场次增长 = 3倍,贵阳市文化和旅游局(贵阳网),贵阳2026年暑期演艺数据,2026,http://m.toutiao.com/group/7678621417574842930/,贵阳文旅：2026暑期贵阳大型演出3年增长3倍,snapshots/贵阳市文化和旅游局(贵阳_贵阳大型营业性演出场次增长.html,L1,入库L1,R1,否
2026 暑期 贵阳 演出消费,2026-08-28-R1,贵阳大型演出累计带动综合消费 = 108亿元,贵阳市文化和旅游局(贵阳网),贵阳2026年暑期演艺数据,2026,http://m.toutiao.com/group/7678621417574842930/,贵阳文旅：2026暑期贵阳大型演出带动综合消费108亿元,snapshots/贵阳市文化和旅游局(贵阳_贵阳大型演出累计带动综合消费.html,L1,入库L1,R1,否
2026 暑期 诺邓,2026-08-28-R1,诺邓景区暑期接待游客 = 3万人次,新华网(地方文旅),2026年暑期云南景区数据,2026,http://www.xinhuanet.com/local/20260828/f72c46e1c90042089941667bb0f58f8f/c.html,新华网：2026暑期诺邓景区接待游客近3万人,snapshots/新华网(地方文旅)_诺邓景区暑期接待游客.html,L1,入库L1,R1,否
2026 暑期 诺邓 花费,2026-08-28-R1,诺邓景区暑期旅游花费 = 1600万元,新华网(地方文旅),2026年暑期云南景区数据,2026,http://www.xinhuanet.com/local/20260828/f72c46e1c90042089941667bb0f58f8f/c.html,新华网：2026暑期诺邓景区旅游花费近1600万元,snapshots/新华网(地方文旅)_诺邓景区暑期旅游花费.html,L1,入库L1,R1,否
2026 暑期 黔西南,2026-08-28-R1,黔西南州避暑旅居目的地排名 = 全国第一定性,马蜂窝,2026年暑期贵州避暑游数据,2026,https://www.hubpd.com/hubpd/rss/flipboard/index.html?contentId=3458764513826182353,马蜂窝：2026暑期黔西南州避暑旅居目的地全国第一,snapshots/马蜂窝_黔西南州避暑旅居目的地排名.html,L1,入库L1,R1,否
2026 暑期 贵阳 避暑,2026-08-28-R1,贵阳长线避暑游目的地排名 = 榜首定性,同程旅行,同程2026避暑游趋势报告,2026,https://www.hubpd.com/hubpd/rss/flipboard/index.html?contentId=3458764513826182353,同程：2026暑期贵阳登顶长线避暑游目的地榜首,snapshots/同程旅行_贵阳长线避暑游目的地排名.html,L1,入库L1,R1,否
2026 暑期 万峰林,2026-08-28-R1,万峰林马岭河峡谷清凉景区指数 = 上榜定性,马蜂窝,2026年暑期贵州景区数据,2026,https://www.hubpd.com/hubpd/rss/flipboard/index.html?contentId=3458764513826182353,马蜂窝：2026暑期万峰林、马岭河峡谷跻身清凉景区前列,snapshots/马蜂窝_万峰林马岭河峡谷清凉景区指数.html,L1,入库L1,R1,否
2026 暑期 云南 亲子,2026-08-28-R1,云南'跟着课本去旅行'热门目的地 = 跻身十大定性,同程旅行,同程2026暑期亲子旅行趋势报告,2026,https://www.yn.gov.cn:6065/yngk/lyyn/lydt/202607/t20260721_329013.html,同程：2026暑期云南跻身'跟着课本去旅行'十大热门目的地,snapshots/同程旅行_云南'跟着课本去旅行'热门目的地.html,L1,入库L1,R1,否
2026 暑期 云南 气温,2026-08-28-R1,云南7月平均气温 = 21.9℃,彩云知南(气象数据转引),2026年暑期云南避暑数据,2026,http://m.toutiao.com/group/7678354155022385708/,气象数据：2026年7月云南平均气温21.9℃,snapshots/彩云知南(气象数据转引)_云南7月平均气温.html,L1,入库L1,R1,否
2026暑期 酒店 入住率 OCC,R2,暑期前两周全国酒店平均入住率 = 62.3%,国金证券,2026暑期酒店市场监测,2026-08,https://m.sohu.com/a/1068293932_122978647/,2026年暑期前两周全国酒店平均入住率62.3%，同比下跌3.0%；平均房价209.6元，同比下跌3.0%；RevPAR仅130.7元，同比下跌5.9%,snapshots/国金证券_2026暑期酒店监测.html,L1,入库L1,R2,是-共3条
2026暑期 酒店 ADR 房价,R2,暑期前两周全国酒店平均房价 = 209.6元,国金证券,2026暑期酒店市场监测,2026-08,https://m.sohu.com/a/1068293932_122978647/,平均房价209.6元，同比下跌3.0%,snapshots/国金证券_2026暑期酒店监测.html,L1,入库L1,R2,是-共3条
