检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2023 十一 出游,2026-08-28-R1,国内旅游出游人次 = 8.26亿人次,文化和旅游部,文化和旅游部2023年中秋国庆假期数据,2023,https://www.mct.gov.cn/preview/whzx/whyw/202310/t20231006_947726.htm,文旅部：中秋国庆假期8天国内旅游出游8.26亿人次，按可比口径同比+71.3%，较2019年+4.1%,snapshots/文化和旅游部_国内旅游出游人次.html,L1,入库L1,R1,否
2023 十一 收入,2026-08-28-R1,国内旅游收入 = 7534.3亿元,文化和旅游部,文化和旅游部2023年中秋国庆假期数据,2023,https://www.mct.gov.cn/preview/whzx/whyw/202310/t20231006_947726.htm,文旅部：中秋国庆8天实现国内旅游收入7534.3亿元，同比+129.5%，较2019年+1.5%,snapshots/文化和旅游部_国内旅游收入.html,L1,入库L1,R1,否
2023 十一 日均,2026-08-28-R1,日均出游人次 = 1.03亿人次,文化和旅游部,文化和旅游部2023年中秋国庆假期数据,2023,https://news.cctv.com/2023/10/07/ARTIBw8tx3qXwAeeOFmq8Wre231007.shtml,央视：8天假期平均每天出游人次超过1亿，每天国内旅游收入近1000亿元,snapshots/文化和旅游部_日均出游人次.html,L1,入库L1,R1,否
2023 十一 跨区域,2026-08-28-R1,全社会跨区域人员流动量 = 22.04亿人次,交通运输部,交通运输部2023年中秋国庆假期数据,2023,https://www.gov.cn/lianbo/bumen/202310/content_6907664.htm,交通运输部：中秋国庆假期全国跨区域人员流动量累计22.04亿人次，日均2.75亿，比2022年+68.1%,snapshots/交通运输部_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2023 十一 营业性客运,2026-08-28-R1,营业性客运量 = 4.58亿人次,交通运输部,交通运输部2023年中秋国庆假期数据,2023,http://paper.people.com.cn/rmrb/html/2023-10/08/nw.D110000renmrb_20231008_6-01.htm,交通运输部：中秋国庆全国铁路、公路、水路、民航累计发送旅客4.58亿人次，日均5727.7万,snapshots/交通运输部_营业性客运量.html,L1,入库L1,R1,否
2023 十一 铁路,2026-08-28-R1,铁路发送旅客 = 1.41亿人次,国铁集团,国铁集团2023年中秋国庆假期数据,2023,https://news.cctv.com/2023/10/07/ARTIlBNO5LR3d9jTfNgqGArd231007.shtml,铁路发送旅客1.41亿人次，日均1763.6万，比2022年同期日均+158.0%,snapshots/国铁集团_铁路发送旅客.html,L1,入库L1,R1,否
2023 十一 铁路 12天,2026-08-28-R1,铁路黄金周12天运输旅客 = 1.95亿人次,国铁集团,国铁集团2023年中秋国庆假期数据,2023,https://www.gov.cn/yaowen/liebiao/202310/content_6908380.htm,铁路中秋国庆黄金周12天运输累计发送旅客1.95亿人次，日均1624.7万人次,snapshots/国铁集团_铁路黄金周12天运输旅客.html,L1,入库L1,R1,否
2023 十一 高速,2026-08-28-R1,全国高速公路流量 = 4.83亿辆次,交通运输部,交通运输部2023年中秋国庆假期数据,2023,http://economy.gmw.cn/2023-10/08/content_36877256.htm,全国高速公路流量累计4.83亿辆次，日均6043万辆次,snapshots/交通运输部_全国高速公路流量.html,L1,入库L1,R1,否
2023 十一 商务部,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 9%,商务部,商务部2023年中秋国庆假期数据,2023,https://www.gov.cn/yaowen/liebiao/202310/content_6907580.htm,商务部：中秋国庆假期前7天全国重点监测零售和餐饮企业销售额同比增长9%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2023 十一 步行街,2026-08-28-R1,全国示范步行街客流量增速 = 94.7%,商务部,商务部2023年中秋国庆假期数据,2023,https://www.gov.cn/yaowen/liebiao/202310/content_6907580.htm,全国示范步行街客流量同比+94.7%，36个大中城市重点商圈客流量+164%,snapshots/商务部_全国示范步行街客流量增速.html,L1,入库L1,R1,否
2023 十一 税务,2026-08-28-R1,餐饮住宿服务销售收入增速 = 25.5%,国家税务总局,国家税务总局2023年中秋国庆增值税发票数据,2023,https://cif.mofcom.gov.cn/newsite/html/shenzhen/html/24454065/2023/10/16/1697445990076.html,国家税务总局：中秋国庆餐饮住宿服务销售收入同比增长25.5%，旅游饭店收入+1.3倍,未存-URLError,L1,入库L1-快照未存,R1,否
